Treatment,Replica,FOV,Time,CellCount,CellArea,NucleusArea,mRNA_nucleus,mRNA_cytosol
Drug8_1000nM,rep2,FOV3,0,2,8026,2755,0.0,1.0
Drug8_1000nM,rep2,FOV3,0,3,7369,3042,1.0,1.0
Drug8_1000nM,rep2,FOV3,0,4,7363,2696,0.0,12.0
Drug8_1000nM,rep2,FOV3,0,5,7461,2904,0.0,6.0
Drug8_1000nM,rep2,FOV3,0,6,5797,2142,0.0,0.0
Drug8_1000nM,rep2,FOV3,0,7,7667,3156,2.0,0.0
Drug8_1000nM,rep2,FOV3,0,8,8874,2872,0.0,6.0
Drug8_1000nM,rep2,FOV3,0,9,7512,3683,1.0,0.0
Drug8_1000nM,rep2,FOV3,0,10,8263,3508,0.0,12.0
Drug8_1000nM,rep2,FOV3,0,11,7160,2851,0.0,7.0
Drug8_1000nM,rep2,FOV3,0,12,8172,2899,0.0,15.0
Drug8_1000nM,rep2,FOV3,0,13,8169,3118,1.0,1.0
Drug8_1000nM,rep2,FOV3,0,14,7183,3277,0.0,11.0
Drug8_1000nM,rep2,FOV3,0,15,3964,2680,0.0,0.0
Drug8_1000nM,rep2,FOV3,1,1,8102,2631,0.0,4.0
Drug8_1000nM,rep2,FOV3,1,2,7908,2678,0.0,9.0
Drug8_1000nM,rep2,FOV3,1,3,7359,2998,0.0,7.0
Drug8_1000nM,rep2,FOV3,1,4,7358,2808,0.0,15.0
Drug8_1000nM,rep2,FOV3,1,5,7406,2907,0.0,12.0
Drug8_1000nM,rep2,FOV3,1,6,5647,2194,0.0,0.0
